product_no,product_name,ingredients,category
107,Algida Keyif Çilek Vanilya Kakao,"Su, Şeker, Yağsız Süt Tozu, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Peyniraltı Suyu Tozu (süt Ürünü, Çilek Püre (%2, Süt Proteini, Kakao Tozu (%0, 8, Kıvam Arttırıcılar (guar Gam, Keçiboynuzu Gamı",Dondurma
108,Algida Keyif Fıstık Vanilya Kakao,"Su, Şeker, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Yağsız Süt Tozu, Peynir Altı Suyu Tozu (süt Ürünü, Süt Proteini, Kakao Tozu (%0, 8, Kıvam Arttırıcılar (guar Gam, Selüloz Gam, Keçiboynuzu Gamı, Tara Gam, Karrage",Dondurma
109,Algida Keyif Kakao & Vanilya,,Dondurma
110,Algida Keyif Kornet,,Dondurma
111,Algida Keyif Vanilya,,Dondurma
112,Algida Keyif Vişne & Limon,,Dondurma
113,Algida Maraş Dilimli Kesme Dondurma,"Su, Şeker, Süt Kreması, Yağsız Süt Tozu, Peyniraltı Suyu Tozu (süt Ürünü, Süt Proteini, Yağsız Süt, Kıvam Arttırıcılar (guar Gam, Selüloz Gam, Emülgatör (yağ Asitlerinin Mono Ve Digliseritleri, Sahlep",Dondurma
114,Algida Maraş Sade Vişne Limon,"Su, Şeker, Süt Kreması, Yağsız Süt Tozu, Peyniraltı Suyu Tozu (süt Ürünü, Süt Proteini, Vişne Suyu Konsantresi (%1, 6, Renklendiriciler (antosiyaninler, Kurkumin, Anatto, Karotenler, Fındık Parça (%1, Pastörize Yağsız Keçi Sütü (%0, 8, Limon Suyu Konsantresi (%0, 8, Kıvam Arttırıcılar(guar Gum, Selüloz Gam, Emülgatörler (yağ Asitlerinin Mono Ve Digliseridleri, Yağsız Süt, Asitliği Düzenleyici (sitrik Asit, Kakao Tozu, Sahlep, Aroma Vericiler",Dondurma
115,Algida Maraş Usulu Çifte Dövülmüş Sade / Çikolatalı,"Su, Şeker, Süt Kreması, Yağsız Süt Tozu, Peyniraltı Suyu Tozu (süt Ürünü, Pastörize Yağsız Keçi Sütü (%2, 5, Süt Proteini, Pastörize Yağsız Süt, Kıvam Arttırıcılar (guar Gam, Selüloz Gam, Emülgatör (yağ Asitlerinin Mono Ve Digliseritleri) Sahlep",Dondurma
116,Algida Maraş Usulü Dondurma,,Dondurma
117,Algida Maraş Usulü Dondurma Külah,,Dondurma
118,Algida Maraş Usulü Dondurma Sade & Antep Fıstıklı,,Dondurma
119,Algida Maraş Usulü Dondurma Sade & Çikolata,,Dondurma
120,Algida Maraş Usulü Kesme Dondurma,,Dondurma
121,Algida Maraş Usulü Sade Dondurma,"Su, Şeker, Süt Kreması, Yağsız Süt Tozu, Pastörize Yağlı Keçi Sütü, Peyniraltı Suyu Tozu (süt Ürünü, Süt Proteini, Pastörize Yağsız Süt, Kavrulmuşantep Fıstık Parça, Kıvam Arttırıcılar (guar Gam, Selüloz Gam",Dondurma
122,Algida Maraş Usulü Sade Ve Çikolatalı Dondurma,"Ýçindekiler: Su, Þeker, Süt Kremasý, Yaðsýz Süt Tozu, Kakao Tozu, Pastörize Yaðlý Keçi Sütü, Bitter Çikolata (%1, 1, Peyniraltý Suyu Tozu (süt Ürünü, Süt Proteini, Kývam Arttýrýcýlar (guar Gam, Selüloz Gam, Pastörize Yaðsý",Dondurma
123,Algida Max Gökkuşağı,,Dondurma
124,Algida Max Twister Forest,,Dondurma
125,Algida Max Twister Forest,,Dondurma
126,Algida Max Twister Island,,Dondurma
127,Algida Milka Çikolata Vanilya,"Su, Şeker, Çikolata Parça (%8) [şeker, Kakao Yağı, Kakao Kitlesi, Yağsız Süt Tozu, Peyniraltı Suyu Tozu (süt Ürünü, Süt Yağı, Emülgatör (soya Lesitini, Fındık Püre, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Ya",Dondurma
128,Algida Mini Nogger,"Su, Buğday Unu (gluten Içerir, Şeker, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Pamuk, Ayçiçek, Kanola, Peyniraltı Suyu Tozu (süt Ürünü, Invert Şeker Şurubu, Yağsız Süt Tozu, Buğday Nişastası (gluten Içerir, Malt",Dondurma
129,Algida Nogger Sandwich,,Dondurma
130,Algida Nogger Sandwich Çikolata&Kaymak,"Su, Buğday Unu (gluten Içerir, Şeker, Kaymak (süt Ürünü) (%4, 6, Bitkisel Yağlar (değişen Miktarlarda Palm, Ayçiçek, Pamuk, Kanola, Yağsız Süt Tozu, Peyniraltı Suyu Tozu (süt Ürünü, Invert Şeker Şurubu, Yağsız Süt, Mısır Nişa",Dondurma
131,Algida Twister Mini Pack,,Dondurma
132,Algida Viennetta Çikolata & Vanilya,,Dondurma
133,Alka Elephant Ballı Hardallı Kraker,"Buğday Unu, Bitkisel Yağlar (değişen Miktarlarda Kanola Ve Ayçiçek, 6 Ballı, Hardallı Ve Soğanlı Çeşni [%1, 3 Soğan Tozu, Maltodekstrin (mısır Ve Buğday Kaynaklı, Şeker, Aroma Verici (hardal Içerir, Tuz, 0, 4 Fırıncılık Balı, 0",Atıştırmalık
134,Alka Elephant Deniz Tuzlu Kraker,"Buğday Unu, Bitkisel Yağlar (değişen Miktarlarda Kanola Ve Ayçiçek, Şeker, Arpa Maltı Ekstraktı, 2, 8 Deniz Tuzu, Emülgatör (soya Lesitini, Kabartıcı (sodyum Bikarbonat, Antioksidan (biberiye Ekstraktları",Atıştırmalık
